date,price
2020-04-02,136.4
2020-04-03,135.94
2020-04-04,142.11
2020-04-05,143.21
2020-04-06,147.24
2020-04-07,146.69
2020-04-08,153.31
2020-04-09,150.31
2020-04-10,156.97
2020-04-11,155.76
2020-04-12,156.46
2020-04-13,157.15
2020-04-14,161.68
2020-04-15,167.73
2020-04-16,168.45
2020-04-17,170.33
2020-04-18,164.69
2020-04-19,174.8
2020-04-20,176.6
2020-04-21,175.86
2020-04-22,177.82
2020-04-23,181.68
2020-04-24,188.63
2020-04-25,183.11
2020-04-26,187.03
2020-04-27,194.31
2020-04-28,191.32
2020-04-29,193.72
2020-04-30,197.26
2020-05-01,195.45
2020-05-02,202.0
2020-05-03,199.83
2020-05-04,208.44
2020-05-05,207.9
2020-05-06,217.27
2020-05-07,213.15
2020-05-08,218.83
2020-05-09,212.39
2020-05-10,218.4
2020-05-11,222.06
2020-05-12,229.01
2020-05-13,219.67
2020-05-14,230.92
2020-05-15,231.76
2020-05-16,237.24
2020-05-17,236.59
2020-05-18,236.45
2020-05-19,236.58
2020-05-20,236.13
2020-05-21,243.53
2020-05-22,244.3
2020-05-23,254.67
2020-05-24,247.08
2020-05-25,252.76
2020-05-26,247.76
2020-05-27,254.4
2020-05-28,259.11
2020-05-29,263.5
2020-05-30,268.17
2020-05-31,264.47
2020-06-01,262.36
2020-06-02,270.86
2020-06-03,273.3
2020-06-04,275.4
2020-06-05,272.67
2020-06-06,282.47
2020-06-07,280.3
2020-06-08,285.07
2020-06-09,289.73
2020-06-10,289.1
2020-06-11,289.9
2020-06-12,300.24
2020-06-13,294.1
2020-06-14,293.9
2020-06-15,297.89
2020-06-16,306.24
2020-06-17,302.3
2020-06-18,306.31
2020-06-19,311.62
2020-06-20,305.94
2020-06-21,302.45
2020-06-22,314.08
2020-06-23,315.94
2020-06-24,314.15
2020-06-25,323.4
2020-06-26,324.34
2020-06-27,318.76
2020-06-28,328.31
2020-06-29,326.99
2020-06-30,322.8
2020-07-01,334.58
2020-07-02,334.28
2020-07-03,332.93
2020-07-04,341.53
2020-07-05,343.55
2020-07-06,340.27
2020-07-07,347.5
2020-07-08,352.9
2020-07-09,346.05
2020-07-10,353.98
2020-07-11,354.17
2020-07-12,368.45
2020-07-13,348.51
2020-07-14,364.47
2020-07-15,361.22
2020-07-16,364.52
2020-07-17,377.73
2020-07-18,369.39
2020-07-19,384.11
2020-07-20,371.32
2020-07-21,377.96
2020-07-22,375.38
2020-07-23,376.41
2020-07-24,382.89
2020-07-25,383.09
2020-07-26,388.08
2020-07-27,376.8
2020-07-28,403.02
2020-07-29,392.47
2020-07-30,405.98
2020-07-31,391.81
2020-08-01,401.76
2020-08-02,421.33
2020-08-03,399.2
2020-08-04,397.59
2020-08-05,405.59
2020-08-06,414.1
2020-08-07,417.72
2020-08-08,423.7
2020-08-09,416.28
2020-08-10,410.03
2020-08-11,419.61
2020-08-12,432.5
2020-08-13,429.82
2020-08-14,416.48
2020-08-15,431.09
2020-08-16,442.65
2020-08-17,449.69
2020-08-18,441.72
2020-08-19,442.31
2020-08-20,434.27
2020-08-21,439.11
2020-08-22,447.29
2020-08-23,452.6
2020-08-24,455.38
2020-08-25,450.43
2020-08-26,448.04
2020-08-27,452.81
2020-08-28,452.4
2020-08-29,467.1
2020-08-30,448.74
2020-08-31,464.77
2020-09-01,472.51
2020-09-02,482.35
2020-09-03,474.32
2020-09-04,483.2
2020-09-05,475.43
2020-09-06,475.16
2020-09-07,477.88
2020-09-08,496.11
2020-09-09,494.5
2020-09-10,493.05
2020-09-11,516.27
2020-09-12,493.71
2020-09-13,500.8
2020-09-14,500.72
2020-09-15,498.99
2020-09-16,520.37
2020-09-17,516.55
2020-09-18,496.72
2020-09-19,506.55
2020-09-20,515.13
2020-09-21,520.12
2020-09-22,505.87
2020-09-23,501.01
2020-09-24,505.9
2020-09-25,522.47
2020-09-26,524.45
2020-09-27,530.23
2020-09-28,523.62
2020-09-29,522.2
2020-09-30,518.0
2020-10-01,539.1
2020-10-02,541.67
2020-10-03,548.98
2020-10-04,549.6
2020-10-05,543.83
2020-10-06,558.72
2020-10-07,548.74
2020-10-08,546.63
2020-10-09,550.01
2020-10-10,551.7
2020-10-11,540.66
2020-10-12,562.37
2020-10-13,565.4
2020-10-14,562.45
2020-10-15,561.68
2020-10-16,573.18
2020-10-17,586.97
2020-10-18,574.8
2020-10-19,572.32
2020-10-20,573.81
2020-10-21,580.58
2020-10-22,572.35
2020-10-23,584.56
2020-10-24,588.43
2020-10-25,606.46
2020-10-26,600.75
2020-10-27,603.83
2020-10-28,590.46
2020-10-29,605.1
2020-10-30,591.04
2020-10-31,606.38
2020-11-01,609.59
2020-11-02,601.04
2020-11-03,628.57
2020-11-04,617.71
2020-11-05,597.19
2020-11-06,622.09
2020-11-07,615.43
2020-11-08,621.46
2020-11-09,628.04
2020-11-10,629.59
2020-11-11,608.94
2020-11-12,619.44
2020-11-13,639.96
2020-11-14,647.26
2020-11-15,655.29
2020-11-16,656.63
2020-11-17,621.8
2020-11-18,651.25
2020-11-19,627.48
2020-11-20,663.98
2020-11-21,653.0
2020-11-22,641.59
2020-11-23,674.75
2020-11-24,663.59
2020-11-25,640.77
2020-11-26,664.62
2020-11-27,656.67
2020-11-28,667.3
2020-11-29,663.76
2020-11-30,684.48
2020-12-01,658.53
2020-12-02,678.35
2020-12-03,695.8
2020-12-04,671.18
2020-12-05,684.0
2020-12-06,686.15
2020-12-07,679.22
2020-12-08,695.24
2020-12-09,691.8
2020-12-10,683.22
2020-12-11,713.64
2020-12-12,705.78
2020-12-13,697.98
2020-12-14,695.27
2020-12-15,695.93
2020-12-16,719.49
2020-12-17,707.13
2020-12-18,715.82
2020-12-19,711.18
2020-12-20,722.01
2020-12-21,716.38
2020-12-22,728.12
2020-12-23,720.12
2020-12-24,733.36
2020-12-25,733.91
2020-12-26,727.54
2020-12-27,721.62
2020-12-28,722.95
2020-12-29,727.35
2020-12-30,726.87
2020-12-31,749.61
2021-01-01,764.17
2021-01-02,808.0
2021-01-03,841.95
2021-01-04,839.13
2021-01-05,843.48
2021-01-06,883.15
2021-01-07,911.91
2021-01-08,916.71
2021-01-09,958.74
2021-01-10,991.31
2021-01-11,1004.79
2021-01-12,1024.52
2021-01-13,1049.1
2021-01-14,1114.98
2021-01-15,1107.93
2021-01-16,1121.16
2021-01-17,1153.51
2021-01-18,1201.67
2021-01-19,1196.99
2021-01-20,1243.04
2021-01-21,1272.57
2021-01-22,1297.95
2021-01-23,1335.7
2021-01-24,1321.93
2021-01-25,1380.71
2021-01-26,1365.91
2021-01-27,1398.69
2021-01-28,1457.45
2021-01-29,1474.44
2021-01-30,1481.22
2021-01-31,1478.97
2021-02-01,1543.48
2021-02-02,1540.59
2021-02-03,1558.1
2021-02-04,1589.1
2021-02-05,1635.44
2021-02-06,1601.49
2021-02-07,1687.91
2021-02-08,1707.97
2021-02-09,1713.08
2021-02-10,1780.21
2021-02-11,1793.95
2021-02-12,1785.96
2021-02-13,1808.7
2021-02-14,1871.07
2021-02-15,1833.8
2021-02-16,1891.69
2021-02-17,1907.65
2021-02-18,1952.63
2021-02-19,1981.55
2021-02-20,2001.1
2021-02-21,2062.92
2021-02-22,2063.83
2021-02-23,2075.33
2021-02-24,2075.19
2021-02-25,2165.17
2021-02-26,2187.56
2021-02-27,2246.62
2021-02-28,2202.19
2021-03-01,2256.45
2021-03-02,2281.94
2021-03-03,2309.31
2021-03-04,2341.11
2021-03-05,2308.21
2021-03-06,2427.2
2021-03-07,2449.7
2021-03-08,2495.94
2021-03-09,2566.49
2021-03-10,2499.1
2021-03-11,2538.13
2021-03-12,2568.28
2021-03-13,2671.93
2021-03-14,2556.53
2021-03-15,2672.42
2021-03-16,2622.32
2021-03-17,2604.94
2021-03-18,2655.27
2021-03-19,2709.32
2021-03-20,2839.88
2021-03-21,2786.68
2021-03-22,2842.12
2021-03-23,2829.98
2021-03-24,2935.3
2021-03-25,2888.49
2021-03-26,3024.04
2021-03-27,2949.23
2021-03-28,2987.55
2021-03-29,3056.23
2021-03-30,3080.15
2021-03-31,3173.81
2021-04-01,3141.47
2021-04-02,3106.87
2021-04-03,3165.76
2021-04-04,3193.31
2021-04-05,3284.72
2021-04-06,3296.65
2021-04-07,3300.25
2021-04-08,3378.06
2021-04-09,3336.3
2021-04-10,3384.43
2021-04-11,3429.03
2021-04-12,3527.19
2021-04-13,3471.4
2021-04-14,3486.5
2021-04-15,3477.9
2021-04-16,3598.38
2021-04-17,3558.48
2021-04-18,3637.17
2021-04-19,3542.89
2021-04-20,3732.82
2021-04-21,3629.71
2021-04-22,3688.58
2021-04-23,3820.21
2021-04-24,3713.05
2021-04-25,3812.73
2021-04-26,3849.96
2021-04-27,3816.05
2021-04-28,3981.08
2021-04-29,4019.24
2021-04-30,3842.17
2021-05-01,3900.98
2021-05-02,4064.74
2021-05-03,3965.39
2021-05-04,4049.1
2021-05-05,4109.2
2021-05-06,4172.49
2021-05-07,4144.1
2021-05-08,4192.4
2021-05-09,4165.71
2021-05-10,4325.47
2021-05-11,4239.87
2021-05-12,4321.91
2021-05-13,4041.47
2021-05-14,3851.59
2021-05-15,3609.06
2021-05-16,3382.65
2021-05-17,3115.53
2021-05-18,2971.44
2021-05-19,2766.55
2021-05-20,2490.87
2021-05-21,2279.31
2021-05-22,2052.76
2021-05-23,1825.06
2021-05-24,1824.1
2021-05-25,1837.51
2021-05-26,1871.47
2021-05-27,1865.29
2021-05-28,1851.75
2021-05-29,1895.73
2021-05-30,1856.76
2021-05-31,1926.56
2021-06-01,1954.62
2021-06-02,1994.72
2021-06-03,1978.74
2021-06-04,2017.81
2021-06-05,2005.92
2021-06-06,1990.74
2021-06-07,1994.49
2021-06-08,2023.6
2021-06-09,2026.9
2021-06-10,2104.97
2021-06-11,2094.45
2021-06-12,2134.94
2021-06-13,2135.02
2021-06-14,2182.16
2021-06-15,2198.78
2021-06-16,2159.09
2021-06-17,2187.0
2021-06-18,2194.2
2021-06-19,2173.55
2021-06-20,2266.29
2021-06-21,2299.7
2021-06-22,2275.03
2021-06-23,2274.14
2021-06-24,2344.68
2021-06-25,2241.07
2021-06-26,2344.84
2021-06-27,2359.52
2021-06-28,2350.0
2021-06-29,2435.95
2021-06-30,2436.96
2021-07-01,2408.35
2021-07-02,2430.5
2021-07-03,2435.25
2021-07-04,2446.41
2021-07-05,2432.5
2021-07-06,2548.72
2021-07-07,2551.62
2021-07-08,2558.99
2021-07-09,2502.79
2021-07-10,2640.31
2021-07-11,2652.76
2021-07-12,2599.39
2021-07-13,2572.55
2021-07-14,2589.66
2021-07-15,2656.18
2021-07-16,2619.08
2021-07-17,2669.92
2021-07-18,2731.01
2021-07-19,2641.88
2021-07-20,2800.61
2021-07-21,2798.92
2021-07-22,2699.46
2021-07-23,2707.68
2021-07-24,2770.35
2021-07-25,2754.74
2021-07-26,2802.73
2021-07-27,2720.14
2021-07-28,2835.78
2021-07-29,2938.77
2021-07-30,2829.04
2021-07-31,2881.22
2021-08-01,2843.91
2021-08-02,2952.75
2021-08-03,2930.66
2021-08-04,3042.5
2021-08-05,2981.5
2021-08-06,2971.44
2021-08-07,3028.76
2021-08-08,2996.87
2021-08-09,2974.66
2021-08-10,3065.31
2021-08-11,3059.28
2021-08-12,3090.86
2021-08-13,3116.46
2021-08-14,3091.01
2021-08-15,3150.49
2021-08-16,3228.55
2021-08-17,3109.83
2021-08-18,3261.05
2021-08-19,3182.43
2021-08-20,3172.99
2021-08-21,3343.19
2021-08-22,3249.12
2021-08-23,3324.39
2021-08-24,3313.41
2021-08-25,3206.19
2021-08-26,3310.94
2021-08-27,3294.62
2021-08-28,3269.48
2021-08-29,3263.38
2021-08-30,3373.49
2021-08-31,3414.12
2021-09-01,3419.92
2021-09-02,3404.31
2021-09-03,3398.8
2021-09-04,3408.78
2021-09-05,3451.02
2021-09-06,3445.76
2021-09-07,3509.27
2021-09-08,3538.78
2021-09-09,3512.15
2021-09-10,3567.54
2021-09-11,3558.94
2021-09-12,3619.76
2021-09-13,3667.69
2021-09-14,3669.78
2021-09-15,3706.06
2021-09-16,3608.31
2021-09-17,3698.87
2021-09-18,3755.53
2021-09-19,3796.16
2021-09-20,3689.39
2021-09-21,3809.07
2021-09-22,3889.13
2021-09-23,3829.71
2021-09-24,3854.51
2021-09-25,3906.22
2021-09-26,3914.46
2021-09-27,3959.67
2021-09-28,3944.28
2021-09-29,3969.06
2021-09-30,3933.29
2021-10-01,3989.77
2021-10-02,4095.56
2021-10-03,4027.63
2021-10-04,4049.73
2021-10-05,4049.92
2021-10-06,4148.41
2021-10-07,4067.18
2021-10-08,4196.54
2021-10-09,4101.53
2021-10-10,4113.68
2021-10-11,4212.97
2021-10-12,4228.24
2021-10-13,4258.92
2021-10-14,4327.9
2021-10-15,4253.52
2021-10-16,4328.57
2021-10-17,4261.04
2021-10-18,4421.97
2021-10-19,4401.36
2021-10-20,4415.25
2021-10-21,4412.4
2021-10-22,4367.91
2021-10-23,4418.2
2021-10-24,4493.57
2021-10-25,4478.71
2021-10-26,4508.35
2021-10-27,4427.8
2021-10-28,4552.33
2021-10-29,4512.67
2021-10-30,4505.57
2021-10-31,4589.33
2021-11-01,4491.34
2021-11-02,4688.62
2021-11-03,4719.56
2021-11-04,4676.25
2021-11-05,4629.94
2021-11-06,4653.07
2021-11-07,4729.26
2021-11-08,4586.95
2021-11-09,4792.94
2021-11-10,4847.84
2021-11-11,4745.69
2021-11-12,4700.88
2021-11-13,4716.84
2021-11-14,4696.57
2021-11-15,4716.15
2021-11-16,4609.27
2021-11-17,4528.66
2021-11-18,4512.56
2021-11-19,4524.31
2021-11-20,4584.58
2021-11-21,4426.63
2021-11-22,4346.28
2021-11-23,4326.78
2021-11-24,4215.15
2021-11-25,4341.37
2021-11-26,4200.44
2021-11-27,4177.25
2021-11-28,4098.8
2021-11-29,4121.7
2021-11-30,4195.47
2021-12-01,4046.8
2021-12-02,3988.5
2021-12-03,4074.87
2021-12-04,4011.37
2021-12-05,4025.93
2021-12-06,4012.08
2021-12-07,3935.5
2021-12-08,3828.0
2021-12-09,3864.81
2021-12-10,3868.81
2021-12-11,3774.7
2021-12-12,3694.58
2021-12-13,3805.92
2021-12-14,3688.88
2021-12-15,3657.41
2021-12-16,3648.87
2021-12-17,3671.89
2021-12-18,3598.17
2021-12-19,3534.25
2021-12-20,3556.02
2021-12-21,3600.33
2021-12-22,3527.94
2021-12-23,3458.56
2021-12-24,3334.9
2021-12-25,3549.1
2021-12-26,3268.16
2021-12-27,3277.62
2021-12-28,3229.73
2021-12-29,3310.87
2021-12-30,3220.17
2021-12-31,3100.18
2022-01-01,3148.59
2022-01-02,3129.46
2022-01-03,3057.32
2022-01-04,2984.36
2022-01-05,2975.29
2022-01-06,2956.5
2022-01-07,2945.0
2022-01-08,2889.29
2022-01-09,2911.76
2022-01-10,2807.42
2022-01-11,2742.87
2022-01-12,2753.12
2022-01-13,2807.68
2022-01-14,2696.62
2022-01-15,2782.38
2022-01-16,2675.58
2022-01-17,2578.17
2022-01-18,2559.56
2022-01-19,2569.35
2022-01-20,2483.34
2022-01-21,2584.9
2022-01-22,2427.38
2022-01-23,2456.84
2022-01-24,2452.56
2022-01-25,2400.82
2022-01-26,2373.53
2022-01-27,2404.4
2022-01-28,2432.19
2022-01-29,2455.65
2022-01-30,2430.64
2022-01-31,2382.23
2022-02-01,2439.64
2022-02-02,2418.18
2022-02-03,2367.46
2022-02-04,2426.72
2022-02-05,2404.35
2022-02-06,2483.58
2022-02-07,2538.6
2022-02-08,2540.34
2022-02-09,2454.9
2022-02-10,2463.56
2022-02-11,2511.4
2022-02-12,2530.12
2022-02-13,2479.57
2022-02-14,2494.65
2022-02-15,2587.68
2022-02-16,2505.48
2022-02-17,2495.98
2022-02-18,2523.58
2022-02-19,2545.76
2022-02-20,2489.82
2022-02-21,2523.89
2022-02-22,2493.69
2022-02-23,2532.24
2022-02-24,2619.34
2022-02-25,2580.78
2022-02-26,2553.59
2022-02-27,2526.05
2022-02-28,2554.68
2022-03-01,2611.96
2022-03-02,2554.49
2022-03-03,2637.1
2022-03-04,2532.44
2022-03-05,2579.21
2022-03-06,2663.08
2022-03-07,2521.69
2022-03-08,2651.19
2022-03-09,2537.06
2022-03-10,2610.75
2022-03-11,2612.27
2022-03-12,2656.25
2022-03-13,2504.19
2022-03-14,2557.58
2022-03-15,2615.7
2022-03-16,2644.32
2022-03-17,2612.15
2022-03-18,2643.59
2022-03-19,2609.87
2022-03-20,2645.88
2022-03-21,2632.8
2022-03-22,2681.21
2022-03-23,2699.53
2022-03-24,2738.58
2022-03-25,2659.27
2022-03-26,2677.64
2022-03-27,2697.17
2022-03-28,2688.06
2022-03-29,2702.65
2022-03-30,2646.03
2022-03-31,2729.42
2022-04-01,2681.72
2022-04-02,2684.71
2022-04-03,2663.57
2022-04-04,2780.93
2022-04-05,2732.32
2022-04-06,2790.15
2022-04-07,2758.84
2022-04-08,2682.06
2022-04-09,2712.32
2022-04-10,2793.3
2022-04-11,2734.89
2022-04-12,2726.1
2022-04-13,2768.72
2022-04-14,2773.57
2022-04-15,2743.43
2022-04-16,2776.82
2022-04-17,2775.18
2022-04-18,2691.22
2022-04-19,2825.91
2022-04-20,2775.33
2022-04-21,2869.35
2022-04-22,2770.41
2022-04-23,2756.9
2022-04-24,2878.96
2022-04-25,2765.97
2022-04-26,2811.01
2022-04-27,2868.33
2022-04-28,2833.54
2022-04-29,2781.55
2022-04-30,2865.2
2022-05-01,2853.56
2022-05-02,2921.87
2022-05-03,2896.78
2022-05-04,3007.16
2022-05-05,2809.83
2022-05-06,2884.78
2022-05-07,2844.23
2022-05-08,2945.39
2022-05-09,2935.75
2022-05-10,2528.28
2022-05-11,2075.51
2022-05-12,1681.0
2022-05-13,1627.28
2022-05-14,1699.24
2022-05-15,1647.6
2022-05-16,1607.2
2022-05-17,1614.18
2022-05-18,1587.96
2022-05-19,1571.3
2022-05-20,1489.84
2022-05-21,1489.29
2022-05-22,1488.13
2022-05-23,1469.96
2022-05-24,1461.22
2022-05-25,1397.45
2022-05-26,1399.96
2022-05-27,1421.18
2022-05-28,1368.11
2022-05-29,1349.83
2022-05-30,1310.43
2022-05-31,1304.03
2022-06-01,1301.87
2022-06-02,1247.94
2022-06-03,1246.8
2022-06-04,1186.91
2022-06-05,1191.54
2022-06-06,1175.19
2022-06-07,1125.0
2022-06-08,1134.6
2022-06-09,1083.51
2022-06-10,1060.01
2022-06-11,1051.33
2022-06-12,1059.57
2022-06-13,1012.78
2022-06-14,1000.33
2022-06-15,954.27
2022-06-16,944.34
2022-06-17,905.36
2022-06-18,892.29
2022-06-19,919.24
2022-06-20,915.2
2022-06-21,943.7
2022-06-22,928.63
2022-06-23,936.54
2022-06-24,965.33
2022-06-25,945.76
2022-06-26,940.97
2022-06-27,989.74
2022-06-28,984.73
2022-06-29,954.48
2022-06-30,995.05
2022-07-01,996.18
2022-07-02,1036.55
2022-07-03,1006.85
2022-07-04,1016.91
2022-07-05,1019.59
2022-07-06,1025.1
2022-07-07,1038.41
2022-07-08,1034.53
2022-07-09,1048.69
2022-07-10,1047.17
2022-07-11,1056.62
2022-07-12,1063.29
2022-07-13,1088.06
2022-07-14,1093.17
2022-07-15,1091.9
2022-07-16,1128.26
2022-07-17,1127.28
2022-07-18,1128.59
2022-07-19,1135.86
2022-07-20,1179.2
2022-07-21,1163.72
2022-07-22,1175.74
2022-07-23,1129.69
2022-07-24,1171.54
2022-07-25,1152.23
2022-07-26,1191.21
2022-07-27,1213.5
2022-07-28,1202.32
2022-07-29,1231.98
2022-07-30,1211.46
2022-07-31,1248.9
2022-08-01,1217.03
2022-08-02,1249.01
2022-08-03,1269.74
2022-08-04,1279.87
2022-08-05,1275.09
2022-08-06,1322.79
2022-08-07,1285.22
2022-08-08,1292.32
2022-08-09,1254.81
2022-08-10,1351.8
2022-08-11,1317.39
2022-08-12,1309.08
2022-08-13,1367.01
2022-08-14,1373.3
2022-08-15,1358.38
2022-08-16,1334.69
2022-08-17,1380.53
2022-08-18,1366.91
2022-08-19,1363.27
2022-08-20,1417.35
2022-08-21,1358.48
2022-08-22,1423.24
2022-08-23,1428.88
2022-08-24,1470.87
2022-08-25,1441.83
2022-08-26,1398.15
2022-08-27,1432.37
2022-08-28,1459.84
2022-08-29,1474.11
2022-08-30,1495.85
2022-08-31,1438.46
2022-09-01,1482.51
2022-09-02,1519.54
2022-09-03,1540.49
2022-09-04,1555.73
2022-09-05,1512.44
2022-09-06,1554.39
2022-09-07,1576.54
2022-09-08,1572.71
2022-09-09,1569.67
2022-09-10,1580.05
2022-09-11,1549.95
2022-09-12,1542.18
2022-09-13,1607.63
2022-09-14,1583.85
2022-09-15,1599.32
2022-09-16,1586.11
2022-09-17,1590.57
2022-09-18,1605.59
2022-09-19,1575.48
2022-09-20,1601.64
2022-09-21,1605.91
2022-09-22,1598.14
2022-09-23,1582.15
2022-09-24,1618.88
2022-09-25,1644.94
2022-09-26,1585.57
2022-09-27,1629.63
2022-09-28,1621.34
2022-09-29,1536.32
2022-09-30,1581.73
2022-10-01,1584.74
2022-10-02,1618.76
2022-10-03,1604.52
2022-10-04,1611.39
2022-10-05,1615.27
2022-10-06,1578.43
2022-10-07,1582.08
2022-10-08,1570.65
2022-10-09,1595.91
2022-10-10,1597.14
2022-10-11,1604.11
2022-10-12,1582.54
2022-10-13,1621.76
2022-10-14,1622.01
2022-10-15,1637.12
2022-10-16,1617.07
2022-10-17,1604.45
2022-10-18,1616.14
2022-10-19,1614.63
2022-10-20,1584.36
2022-10-21,1630.95
2022-10-22,1641.24
2022-10-23,1647.45
2022-10-24,1600.85
2022-10-25,1607.78
2022-10-26,1609.99
2022-10-27,1599.94
2022-10-28,1614.86
2022-10-29,1597.09
2022-10-30,1595.35
2022-10-31,1642.22
2022-11-01,1603.95
2022-11-02,1601.61
2022-11-03,1621.17
2022-11-04,1603.61
2022-11-05,1607.0
2022-11-06,1598.47
2022-11-07,1570.71
2022-11-08,1527.86
2022-11-09,1432.29
2022-11-10,1390.08
2022-11-11,1290.99
2022-11-12,1259.95
2022-11-13,1184.59
2022-11-14,1104.63
2022-11-15,1100.43
2022-11-16,1111.06
2022-11-17,1073.64
2022-11-18,1090.1
2022-11-19,1107.94
2022-11-20,1118.26
2022-11-21,1113.26
2022-11-22,1099.84
2022-11-23,1120.99
2022-11-24,1113.21
2022-11-25,1104.92
2022-11-26,1130.56
2022-11-27,1123.53
2022-11-28,1149.43
2022-11-29,1142.54
2022-11-30,1145.82
2022-12-01,1140.9
2022-12-02,1123.08
2022-12-03,1123.59
2022-12-04,1116.47
2022-12-05,1193.14
2022-12-06,1127.28
2022-12-07,1144.3
2022-12-08,1143.78
2022-12-09,1147.23
2022-12-10,1144.06
2022-12-11,1123.85
2022-12-12,1140.99
2022-12-13,1136.21
2022-12-14,1160.29
2022-12-15,1152.63
2022-12-16,1154.64
2022-12-17,1172.53
2022-12-18,1160.6
2022-12-19,1189.32
2022-12-20,1168.19
2022-12-21,1181.06
2022-12-22,1155.73
2022-12-23,1192.89
2022-12-24,1176.14
2022-12-25,1192.68
2022-12-26,1193.38
2022-12-27,1186.49
2022-12-28,1195.55
2022-12-29,1186.85
2022-12-30,1219.98
2022-12-31,1214.7
2023-01-01,1208.68
2023-01-02,1187.26
2023-01-03,1197.23
2023-01-04,1213.75
2023-01-05,1230.08
2023-01-06,1251.62
2023-01-07,1235.09
2023-01-08,1282.83
2023-01-09,1269.3
2023-01-10,1239.3
2023-01-11,1277.37
2023-01-12,1244.97
2023-01-13,1289.14
2023-01-14,1301.69
2023-01-15,1309.06
2023-01-16,1323.32
2023-01-17,1330.55
2023-01-18,1335.12
2023-01-19,1386.32
2023-01-20,1389.29
2023-01-21,1349.56
2023-01-22,1407.72
2023-01-23,1356.57
2023-01-24,1381.94
2023-01-25,1439.9
2023-01-26,1368.77
2023-01-27,1437.29
2023-01-28,1406.7
2023-01-29,1439.19
2023-01-30,1447.04
2023-01-31,1496.77
2023-02-01,1450.42
2023-02-02,1475.39
2023-02-03,1499.55
2023-02-04,1488.59
2023-02-05,1484.35
2023-02-06,1510.2
2023-02-07,1522.32
2023-02-08,1549.12
2023-02-09,1515.75
2023-02-10,1535.74
2023-02-11,1562.34
2023-02-12,1559.54
2023-02-13,1567.75
2023-02-14,1580.37
2023-02-15,1572.83
2023-02-16,1578.91
2023-02-17,1617.35
2023-02-18,1588.85
2023-02-19,1652.43
2023-02-20,1638.01
2023-02-21,1609.92
2023-02-22,1657.0
2023-02-23,1662.82
2023-02-24,1686.37
2023-02-25,1705.09
2023-02-26,1675.36
2023-02-27,1675.29
2023-02-28,1686.45
2023-03-01,1685.4
2023-03-02,1699.98
2023-03-03,1735.26
2023-03-04,1736.94
2023-03-05,1732.33
2023-03-06,1734.42
2023-03-07,1771.7
2023-03-08,1757.83
2023-03-09,1752.04
2023-03-10,1784.39
2023-03-11,1789.99
2023-03-12,1776.79
2023-03-13,1836.94
2023-03-14,1846.21
2023-03-15,1832.85
2023-03-16,1844.0
2023-03-17,1863.66
2023-03-18,1856.83
2023-03-19,1891.3
2023-03-20,1921.58
2023-03-21,1885.93
2023-03-22,1904.8
2023-03-23,1925.87
2023-03-24,1899.93
2023-03-25,1885.8
2023-03-26,1953.11
2023-03-27,1890.03
2023-03-28,1996.4
2023-03-29,1978.38
2023-03-30,1967.06
2023-03-31,1971.7
2023-04-01,2030.83
2023-04-02,1959.29
2023-04-03,1961.41
2023-04-04,1986.82
2023-04-05,2005.55
2023-04-06,1991.59
2023-04-07,2035.46
2023-04-08,2043.58
2023-04-09,2023.07
2023-04-10,2106.19
2023-04-11,2022.26
2023-04-12,2034.32
